verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link
FALSE,Donald Trump,"""In seven years that (nuclear) deal will have expired, and Iran is free to go ahead and create nuclear weapons.""",4/30/2018,news,Jon Greenberg,5/2/2018,https://www.politifact.com/factchecks/2018/may/02/donald-trump/donald-trump-said-wrongly-iran-nuclear-deal-expire/
pants-fire,Donald Trump,"""In 2020 we won (Wisconsin).""",6/26/2021,statement,D.L. Davis,7/6/2021,https://www.politifact.com/factchecks/2021/jul/06/donald-trump/deja-vu-all-over-again-former-president-trump-wron/
mostly-true,Donald Trump,"""According to Pew Research, 99 percent of the people in Afghanistan support oppressive Sharia law.""",6/13/2016,speech,Neelesh Moorthy,6/16/2016,https://www.politifact.com/factchecks/2016/jun/16/donald-trump/trump-mostly-correct-about-sharia-law-support-afgh/
mostly-true,Bernie Sanders,"""Mike Bloomberg owns more wealth than the bottom 125 million Americans.""",2/19/2020,speech,Louis Jacobson,3/2/2020,https://www.politifact.com/factchecks/2020/mar/02/bernie-sanders/does-mike-bloomberg-own-more-wealth-bottom-125-mil/
half-true,Marco Rubio,"The immigration proposal from the Gang of Eight ""is not amnesty.""",4/14/2013,news,Molly Moorhead,4/17/2013,https://www.politifact.com/factchecks/2013/apr/17/marco-rubio/sen-marco-rubio-says-immigration-bill-not-amnesty/
half-true,Donald Trump,"Says Hillary Clinton and Tim Kaine ""want to shut down shale, and shut down natural gas.""",9/24/2016,speech,C. Eugene Emery Jr.,9/25/2016,https://www.politifact.com/factchecks/2016/sep/26/donald-trump/donald-trump-wrong-say-hillary-clinton-wants-shut-/
mostly-true,Joe Biden,"""$500 billion of the extension of the Bush tax cuts for the wealthy goes to 120,000 families.""",9/2/2012,speech,Dave Umhoefer,9/9/2012,https://www.politifact.com/factchecks/2012/sep/09/joe-biden/biden-says-500-billion-bush-tax-cuts-wealthy-would/
pants-fire,Donald Trump,"Saudi Arabia has ordered $450 billion, ""$110 billion of which is a military order,"" producing ""over a million jobs.""",10/20/2018,news,Jon Greenberg,10/23/2018,https://www.politifact.com/factchecks/2018/oct/23/donald-trump/donald-trump-touts-nonexistent-450-billion-saudi-o/
FALSE,Donald Trump,"The five Guantanamo detainees swapped for Bowe Bergdahl are ""back on the battlefield.""",1/10/2016,news,Lauren Carroll,1/10/2016,https://www.politifact.com/factchecks/2016/jan/10/donald-trump/donald-trump-repeats-wrong-claim-prisoners-swapped/
FALSE,Donald Trump,"""Nancy Pelosi, Adam Schiff, and the rest of the corrupt Democrats made a promise to their crazy left-wing base that they would impeach me even BEFORE I took office.""",11/14/2019,advertisement,Tom Kertscher,11/19/2019,https://www.politifact.com/factchecks/2019/nov/19/donald-trump/no-evidence-trumps-claim-pelosi-schiff-promised-im/
FALSE,Donald Trump,"""While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!""",2/12/2017,social_media,Allison Graves,2/12/2017,https://www.politifact.com/factchecks/2017/feb/12/donald-trump/donald-trump-wrongly-says-cnn-cut-bernie-sanders-c/
half-true,Donald Trump,"""We're losing thousands of (veterans) waiting on line"" because they can't get speedy health care from the Veterans Administration.",5/31/2016,news,C. Eugene Emery Jr.,6/1/2016,https://www.politifact.com/factchecks/2016/jun/01/donald-trump/donald-trump-thousands-veterans-die-waiting-treatm/
FALSE,Bernie Sanders,"""Last year, ExxonMobil made $19 billion in profit. Guess what. They paid zero in taxes. They got a $156 million refund from the IRS.""",11/30/2010,speech,Louis Jacobson,12/10/2010,https://www.politifact.com/factchecks/2010/dec/10/bernie-sanders/bernie-sanders-filibuster-exxon-mobil/
TRUE,Donald Trump,"The federal tax code includes ""deductions for birds flying across America.""",5/11/2017,news,Louis Jacobson,5/15/2017,https://www.politifact.com/factchecks/2017/may/15/donald-trump/donald-trump-mentions-tax-deductions-birds-flying-/
mostly-false,Barack Obama,"Congress is on ""vacation.""",8/2/2014,television,Louis Jacobson,8/22/2014,https://www.politifact.com/factchecks/2014/aug/22/barack-obama/barack-obama-says-congress-was-going-vacation-eve-/
half-true,Donald Trump,"""The United States is now the No. 1 energy producer in the world. That happened just recently.""",9/29/2018,speech,Warren Sterling,10/4/2018,https://www.politifact.com/factchecks/2018/oct/04/donald-trump/united-states-no-1-energy-producer-world/
FALSE,Donald Trump,"""We essentially repealed Obamacare because we got rid of the individual mandate ... and that was a primary source of funding of Obamacare.""",12/20/2017,speech,Jon Greenberg,12/21/2017,https://www.politifact.com/factchecks/2017/dec/21/donald-trump/trump-wrongly-says-end-mandate-essentially-obamaca/
half-true,John McCain,"""I will keep taxes low and cut them where I can. My opponent will raise them.""",9/4/2008,other,Angie Drobnic Holan,9/4/2008,https://www.politifact.com/factchecks/2008/sep/04/john-mccain/obama-cuts-taxes-for-some-though/
half-true,Kamala Harris,"Says ""I disagreed"" with President Obama’s Secure Communities deportation program",6/27/2019,speech,Chris Nichols,6/28/2019,https://www.politifact.com/factchecks/2019/jun/28/kamala-harris/fact-check-did-kamala-harris-really-disagree-obama/
mostly-false,Marco Rubio,"In Florida, ""300,000 people are going to lose their individual coverage because of Obamacare. Now those people next year, they don’t have health insurance.""",10/22/2013,news,Amy Sherman,10/25/2013,https://www.politifact.com/factchecks/2013/oct/25/marco-rubio/marco-rubio-said-florida-300000-people-are-going-l/
FALSE,Mitch McConnell,"Says Senate Republicans are ""following a longstanding tradition of not filling vacancies on the Supreme Court in the middle of a presidential election year.""",3/20/2016,news,Lauren Carroll,3/22/2016,https://www.politifact.com/factchecks/2016/mar/22/mitch-mcconnell/mitch-mcconnell-exaggerates-tradition-not-confirmi/
TRUE,Gavin Newsom,"""California is 49th out of 50 in the United States in per capita housing units. Only Utah can lay claim to being lowest in per capita production.""",3/8/2018,other,Chris Nichols,3/21/2018,https://www.politifact.com/factchecks/2018/mar/21/gavin-newsom/true-california-ranks-49th-capita-housing-supply/
mostly-true,Marco Rubio,"""$120,000 will be spent by taxpayers on Charlie Crist's political photo-op special session.""",7/9/2010,news,Amy Sherman,7/14/2010,https://www.politifact.com/factchecks/2010/jul/14/marco-rubio/rubio-says-special-session-120000-photo-op-crist/
half-true,Joe Biden,"The Obama administration's policies ""have reduced minority dropout rate by 25 percent.""",7/23/2014,speech,Louis Jacobson,7/29/2014,https://www.politifact.com/factchecks/2014/jul/29/joe-biden/joe-biden-says-obama-policies-have-cut-minority-dr/
mostly-false,Barack Obama,"""The economy, by every metric, is better than when I came into office.""",7/21/2015,news,Louis Jacobson,7/28/2015,https://www.politifact.com/factchecks/2015/jul/28/barack-obama/barack-obama-tells-jon-stewart-economy-every-metri/
FALSE,Donald Trump,"Deals struck on his first foreign trip as president made and saved ""millions of jobs.""",5/26/2017,social_media,Louis Jacobson,5/26/2017,https://www.politifact.com/factchecks/2017/may/26/donald-trump/did-donald-trumps-trip-create-or-save-millions-job/
FALSE,Donald Trump,"Says the man who rushed the stage at him in Dayton, Ohio, ""had chatter about ISIS, or with ISIS"" in his social media posts.",3/13/2016,news,Louis Jacobson,3/13/2016,https://www.politifact.com/factchecks/2016/mar/13/donald-trump/donald-trump-wrongly-links-campaign-event-proteste/
FALSE,Alexandria Ocasio-Cortez,"In her defeat of Republican Rep. Karen Handel, Democratic challenger Lucy McBath ""was outspent 5-1.""",11/19/2018,social_media,Louis Jacobson,11/28/2018,https://www.politifact.com/factchecks/2018/nov/28/alexandria-ocasio-cortez/alexandria-ocasio-cortez-wrong-about-spending-geor/
mostly-true,Bernie Sanders,"""(Flint, Mich., is) paying three times more for poison water than I am paying in Burlington, Vt., for clean water.""",3/6/2016,speech,Joshua Gillin,3/7/2016,https://www.politifact.com/factchecks/2016/mar/07/bernie-sanders/flint-residents-dont-pay-3-times-much-burlington-r/
pants-fire,Donald Trump,"""[U.S. Rep. Conor Lamb] said he would NOT vote for [Nancy Pelosi] for Speaker, and did.""",5/25/2020,social_media,Jessica Calefati,5/27/2020,https://www.politifact.com/factchecks/2020/may/27/donald-trump/trump-said-pa-rep-conor-lamb-backed-nancy-pelosi-h/
mostly-false,Marco Rubio,"Surface temperatures on Earth ""have stabilized.""",5/20/2014,news,Louis Jacobson,5/27/2014,https://www.politifact.com/factchecks/2014/may/27/marco-rubio/marco-rubio-surface-temperatures-earth-have-st/
half-true,Mike Pence,"""Hillary [Clinton] wants to raise taxes by over a trillion dollars.""",8/23/2016,campaign,C. Eugene Emery Jr.,8/25/2016,https://www.politifact.com/factchecks/2016/aug/25/mike-pence/pa-pence-repeats-half-true-claim-clinton-would-rai/
mostly-false,Bernie Sanders,"""Very little of (the defense) budget — less than 10 percent — actually goes into fighting ISIS and international terrorism.""",1/17/2016,speech,Joshua Gillin,1/18/2016,https://www.politifact.com/factchecks/2016/jan/18/bernie-sanders/less-10-percent-defense-budget-fighting-terrorism-/
FALSE,Mitch McConnell,"Says Barack Obama is getting his nominees confirmed ""faster than President (George W.) Bush was at the same time in his second term.""",7/14/2013,news,Jon Greenberg,7/18/2013,https://www.politifact.com/factchecks/2013/jul/18/mitch-mcconnell/barack-obama-getting-his-nominees-confirmed-faster/
mostly-true,Barack Obama,"""You see a whole bunch of Korean cars here in the United States, and you don't see any American cars in Korea.""",6/29/2011,news,Angie Drobnic Holan,7/4/2011,https://www.politifact.com/factchecks/2011/jul/04/barack-obama/barack-obama-said-you-dont-see-american-made-cars-/
FALSE,Donald Trump,"""Youth unemployment is through the roof.""",7/27/2016,social_media,Adam Thorp,8/4/2016,https://www.politifact.com/factchecks/2016/aug/04/donald-trump/ama-trump-exaggerates-youth-unemployment/
FALSE,Joe Biden,"Sanders’ ""Medicare for All"" plan ""would cost more than the entire federal budget that we spend now.""",2/7/2020,speech,Shefali Luthra,2/13/2020,https://www.politifact.com/factchecks/2020/feb/13/joe-biden/does-medicare-all-cost-more-entire-budget-biden-sa/
pants-fire,Vladimir Putin,"Says associates of financier Bill Browder ""sent a huge amount of money, over $400 million, as a contribution to the campaign of Hillary Clinton.""",7/16/2018,news,Jon Greenberg,7/16/2018,https://www.politifact.com/factchecks/2018/jul/16/vladimir-putin/putins-pants-fire-claim-about-400-million-donation/
FALSE,Donald Trump,"Says ""the New York Times wrote about"" Barack Obama wiretapping Donald Trump during the election.",3/15/2017,news,Lauren Carroll,3/16/2017,https://www.politifact.com/factchecks/2017/mar/16/donald-trump/donald-trump-says-he-learned-obama-tapped-his-phon/
FALSE,Adam Schiff,"""We have not spoken directly with the whistleblower.""",9/17/2019,news,Bill McCarthy,10/4/2019,https://www.politifact.com/factchecks/2019/oct/04/adam-schiff/adam-schiffs-false-claim-we-have-not-spoken-direct/
half-true,Barack Obama,"Measures in Barack Obama's health plan could ""lower health care costs for the typical family by $2,500 a year.""",10/29/2008,advertisement,Angie Drobnic Holan,10/30/2008,https://www.politifact.com/factchecks/2008/oct/30/barack-obama/savings-projection-is-best-case-scenario/
mostly-false,Barack Obama,"Says Mitt Romney was clear that he ""would not provide government assistance to the U.S. auto companies, even if they went through bankruptcy.""",10/22/2012,speech,Jon Greenberg,10/23/2012,https://www.politifact.com/factchecks/2012/oct/23/barack-obama/obama-says-romney-opposed-any-government-help-resc/
FALSE,Bernie Sanders,"""42 percent of (Walmart’s) associates are black.""",7/10/2019,news,Jon Greenberg,7/12/2019,https://www.politifact.com/factchecks/2019/jul/12/bernie-sanders/bernie-sanders-said-huge-percentage-walmart-worker/
mostly-false,Gavin Newsom,"""So far in 2015, there have been more mass shootings than days.""",12/5/2015,campaign,Chris Nichols,2/23/2016,https://www.politifact.com/factchecks/2016/feb/23/gavin-newsom/mass-shooting-claims-newsom-pan-rated-mostly-false/
TRUE,Barack Obama,"""America is No. 1 one in oil and gas.""",1/20/2015,speech,Lauren Carroll,1/21/2015,https://www.politifact.com/factchecks/2015/jan/21/barack-obama/obama-america-no-1-producer-oil-gas/
mostly-true,Donald Trump,"""Since NAFTA’s adoption, the United States racked up trade deficits totaling more than $2 trillion.""",10/1/2018,news,Louis Jacobson,10/1/2018,https://www.politifact.com/factchecks/2018/oct/01/donald-trump/has-us-racked-2-trillion-trade-deficits-nafta-bega/
mostly-false,Barack Obama,"""For my energy plan, my economic plan, and the other proposals you'll hear tonight, I've offered spending cuts above and beyond their cost.""",10/29/2008,other,Robert Farley,10/30/2008,https://www.politifact.com/factchecks/2008/oct/30/barack-obama/proposed-cuts-are-too-vague/
pants-fire,Marco Rubio,"Hostages were released as soon as Ronald Reagan took office because Iran perceived that America was ""no longer under the command of someone weak.""",1/17/2016,news,Angie Drobnic Holan,1/17/2016,https://www.politifact.com/factchecks/2016/jan/17/marco-rubio/rubio-wrongly-credits-reagan-1981-release-hostages/
pants-fire,Donald Trump,Says Georgia’s secretary of state won’t let the people recounting ballots check the signatures for fraud.,11/17/2020,email,Jon Greenberg,11/18/2020,https://www.politifact.com/factchecks/2020/nov/18/donald-trump/donald-trumps-jab-georgia-recount-ignores-key-voti/
FALSE,Joe Biden,"""I can send every qualified person to a four-year college in their state for $150 billion.""",10/25/2020,news,Noah Y. Kim,10/30/2020,https://www.politifact.com/factchecks/2020/oct/30/joe-biden/biden-misstates-price-his-free-public-college-plan/
mostly-true,Donald Trump,"Says Hillary Clinton called the Trans-Pacific Partnership ""the gold standard. You called it the gold standard of trade deals. You said it’s the finest deal you’ve ever seen.""",9/26/2016,speech,Steve Contorno,9/26/2016,https://www.politifact.com/factchecks/2016/sep/27/donald-trump/donald-trump-says-hillary-clinton-lauded-controver/
